name,state,type,degree_length,in_state_tuition,early_career_pay,mid_career_pay,career_growth,value_ratio
Brigham Young University-Idaho,Idaho,Private,4 Year,4118,53700,93500,39800,22.71
University of Wyoming,Wyoming,Public,4 Year,5400,52400,98800,46400,18.3
SUNY Maritime College,New York,Public,4 Year,8283,74900,140700,65800,16.99
Brigham Young University-Hawaii,Hawaii,Private,4 Year,5560,51700,93900,42200,16.89
Weber State University,Utah,Public,4 Year,5831,53900,94000,40100,16.12
University of Florida,Florida,Public,4 Year,6381,55800,102800,47000,16.11
New Mexico Institute of Mining and Technology,New Mexico,Public,4 Year,7770,64700,120400,55700,15.5
Montana Tech of the University of Montana,Montana,Public,4 Year,7411,61200,112600,51400,15.19
San Jose State University,California,Public,4 Year,7796,63000,114700,51700,14.71
SUNY Downstate Medical Center,New York,Public,4 Year,7481,64000,109300,45300,14.61
