name,state,total_enrollment,early_career_pay,mid_career_pay,salary_growth,type,in_state_tuition
Massachusetts Institute of Technology,Massachusetts,11319,86300,155200,68900,Private,51832
Stanford University,California,16963,79000,145200,66200,Private,51354
Yale University,Connecticut,12336,70300,138300,68000,Private,53430
Carnegie Mellon University,Pennsylvania,12587,75900,136100,60200,Private,55465
University of Pennsylvania,Pennsylvania,24806,72800,133900,61100,Private,55584
Duke University,North Carolina,15856,71100,132100,61000,Private,55695
University of Notre Dame,Indiana,12179,67000,130500,63500,Private,53391
Cornell University,New York,21679,70100,128200,58100,Private,55188
New Jersey Institute of Technology,New Jersey,10646,64600,121300,56700,Public,17338
University of Southern California,California,42453,64500,120600,56100,Private,56225
