"state","total_enroll","non_white_share","avg_in_state_total"
"Hawaii",170475,0.924405338026103,14614.7857142857
"California",5832444,0.862919215340945,20065.9173228346
"New Mexico",315536,0.845231605902338,10488.2083333333
"Texas",3288443,0.818087465709456,17387.5533333333
"Florida",2275906,0.78853388496713,20669.6818181818
"Arizona",1352204,0.78443711156009,12835.2352941176
"Nevada",242172,0.774205936276696,15532.5
"Maryland",738056,0.768909134266235,25025.9555555556
"New Jersey",850023,0.764166381380269,24745.3148148148
"Georgia",1082605,0.763185095210164,19576.7848101266
"New York",2556704,0.759892032867317,31458.334841629
"Mississippi",344125,0.731458045768253,13840.96875
"Alaska",66070,0.728409262902982,18937.8333333333
"Louisiana",485520,0.727834074806393,18738.7941176471
"Virginia",1133877,0.726301882832088,24061.9620253165
"Illinois",1574813,0.723434464917422,23121.864
"Delaware",143640,0.708959899749373,19893.6666666667
"North Carolina",1107648,0.706404922863581,16992.0598290598
"Washington",809273,0.705125464460077,18399.3666666667
"Connecticut",383042,0.702152766537351,29371.6666666667
"Massachusetts",939396,0.700294657418171,41848.8494623656
"Oklahoma",408018,0.690366601473464,17923.075
"South Carolina",486470,0.683818118280675,20037.5087719298
"Alabama",572796,0.682674110852729,15494.9444444444
"New Hampshire",178384,0.678631491613598,29029.619047619
"Colorado",657380,0.667925705071648,19523.8157894737
"Rhode Island",151509,0.661188444250837,46068.7272727273
"Minnesota",807850,0.65601039796992,21975
"Oregon",438382,0.646678011414702,25685.95
"Pennsylvania",1280146,0.63984186178764,34293.05
"Tennessee",601988,0.63822202435929,24031.1290322581
"Kansas",411430,0.635738764795956,18999.0192307692
"Arkansas",315499,0.634030535754472,13487.9565217391
"Michigan",1089791,0.629212390265656,21533.4871794872
"Missouri",716577,0.612315215252513,21986.2465753425
"Iowa",503406,0.61014767404441,27331.1923076923
"Indiana",791966,0.605672465737165,26996.6451612903
"Ohio",1196955,0.601042645713498,23687.1417322835
"Idaho",202656,0.597347228801516,16292.8461538462
"West Virginia",267075,0.577807731910512,18342.3333333333
"Nebraska",236419,0.577550873660746,22067.3636363636
"Utah",395566,0.574306184050196,15278.5714285714
"Wisconsin",624313,0.563581088332295,20195.4925373134
"Kentucky",458553,0.550863258990782,21183.9090909091
"Montana",87845,0.549889009050031,13032.2272727273
"Maine",121295,0.543600313285791,28241.6296296296
"Vermont",72862,0.532801734786308,40957.6315789474
"South Dakota",92032,0.530337273991655,16924.0555555556
"North Dakota",88654,0.526631624066596,13923.3333333333
"Wyoming",58647,0.519446860026941,10539.5
