name,state,type,out_of_state_tuition,early_career_pay,simple_roi,roi_ratio
Brigham Young University-Idaho,Idaho,Private,4118,53700,37228,3.26
Brigham Young University-Hawaii,Hawaii,Private,5560,51700,29460,2.32
Western Governors University,Utah,Private,6670,54500,27820,2.04
Minot State University,North Dakota,Public,7064,44500,16244,1.57
Chadron State College,Nebraska,Public,7196,42300,13516,1.47
Peru State College,Nebraska,Public,7482,42600,12672,1.42
Thomas Edison State University,New Jersey,Public,9967,52500,12632,1.32
Alcorn State University,Mississippi,Public,7144,40900,12324,1.43
Bellevue University,Nebraska,Private,9390,49400,11840,1.32
Western Carolina University,North Carolina,Public,8220,44700,11820,1.36
Delta State University,Mississippi,Public,7246,40800,11816,1.41
Bellevue College,Washington,Public,9689,50100,11344,1.29
Mississippi University for Women,Mississippi,Public,7040,39500,11340,1.4
South Dakota School of Mines and Technology,South Dakota,Public,14021,66500,10416,1.19
Charles R Drew University of Medicine and Science,California,Private,17440,78300,8540,1.12
