"name","type","state","mid_career_pay","in_state_total","pay_to_instate_ratio"
"Bellevue College","Public","Washington",88500,4258,20.7844058243307
"Clark College","Public","Washington",78400,4287,18.2878469792396
"Utah Valley University","Public","Utah",90600,5726,15.8225637443241
"SUNY Downstate Medical Center","Public","New York",109300,7481,14.6103462103997
"Western Governors University","Private","Utah",91500,6670,13.7181409295352
"Texas Tech University Health Sciences Center","Public","Texas",104900,7911,13.2600176968778
"Thomas Edison State University","Public","New Jersey",95600,7519,12.7144567096688
"Missouri Western State University","Public","Missouri",77700,6466,12.0167027528611
"Athens State University","Public","Alabama",78800,6810,11.5712187958884
"Metropolitan State University of Denver","Public","Colorado",87200,7665,11.3763861709067
"University of Houston-Clear Lake","Public","Texas",94800,8500,11.1529411764706
"Metropolitan State University","Public","Minnesota",85900,7879,10.9023987815713
"University of Arkansas for Medical Sciences","Public","Arkansas",89100,8197,10.8698304257655
"Brigham Young University-Idaho","Private","Idaho",93500,8710,10.7347876004592
"West Virginia University at Parkersburg","Public","West Virginia",65200,6330,10.3001579778831
"University of Baltimore","Public","Maryland",89600,8958,10.0022326412146
"Amridge University","Private","Alabama",65900,6900,9.55072463768116
"Glenville State College","Public","West Virginia",67700,7327,9.23979800737
"University of Maine at Augusta","Public","Maine",73100,7988,9.15122684026039
"Charter Oak State College","Public","Connecticut",85900,10161,8.45389233343175
"Bluefield State College","Public","West Virginia",72800,8820,8.25396825396825
"University of Nebraska Medical Center","Public","Nebraska",93000,11558,8.04637480532964
"Granite State College","Public","New Hampshire",76900,9645,7.97304302747538
"Charles R Drew University of Medicine and Science","Private","California",135700,17440,7.78096330275229
"The King's University","Private","Texas",116500,15000,7.76666666666667
"Weber State University","Public","Utah",94000,12110,7.76218001651528
"Brigham Young University-Hawaii","Private","Hawaii",93900,12146,7.7309402272353
"New Mexico Institute of Mining and Technology","Public","New Mexico",120400,16280,7.3955773955774
"Amberton University","Private","Texas",93600,12840,7.28971962616822
"Southwestern Oklahoma State University","Public","Oklahoma",90800,12865,7.05790905557715
"Cameron University","Public","Oklahoma",81500,11902,6.84758864056461
"Wilmington University","Private","Delaware",76600,11210,6.83318465655665
"Utah State University","Public","Utah",93900,13824,6.79253472222222
"SUNY Maritime College","Public","New York",140700,20805,6.76279740447008
"University of Wisconsin-Platteville","Public","Wisconsin",100300,15151,6.62002508085275
"Montana Tech of the University of Montana","Public","Montana",112600,17067,6.59752739204312
"South Dakota School of Mines and Technology","Public","South Dakota",118500,18219,6.50419891322246
